Date,Close,High,Low,Open,Volume,ema20
2025-04-01 10:10:00-04:00,554.31,555.68,554.23,555.55,623365.0,557.0589211372169
2025-04-01 10:15:00-04:00,554.25,554.92,554.17,554.32,559286.0,556.7914048384343
2025-04-01 10:20:00-04:00,555.25,555.44,553.68,554.25,638450.0,556.644604377631
2025-04-01 10:25:00-04:00,555.14,555.8,554.62,555.24,415307.0,556.5013087226185
2025-04-01 10:30:00-04:00,555.72,555.89,555.03,555.13,370501.0,556.4268983680835
2025-04-01 10:35:00-04:00,557.1,557.7,555.59,555.72,704139.0,556.4910032854089
2025-04-01 10:40:00-04:00,557.95,558.63,556.84,557.05,647602.0,556.6299553534651
2025-04-01 10:45:00-04:00,558.04,558.26,557.48,557.96,354524.0,556.7642453198017
2025-04-01 10:50:00-04:00,559.21,559.23,558.06,558.09,478003.0,556.9971743369634
2025-04-01 10:55:00-04:00,559.72,559.8,558.77,559.24,567175.0,557.2564910667764
2025-04-01 11:00:00-04:00,559.88,560.24,559.4,559.72,711989.0,557.5063490604168
2025-04-01 11:05:00-04:00,560.49,560.65,559.82,559.84,477829.0,557.7905062927581
2025-04-01 11:10:00-04:00,561.4,561.44,560.12,560.51,611022.0,558.1342675982097
2025-04-01 11:15:00-04:00,561.21,561.88,561.17,561.38,740820.0,558.4271944936183
2025-04-01 11:20:00-04:00,561.66,561.75,560.59,561.19,560634.0,558.7350807323213
2025-04-01 11:25:00-04:00,560.8,561.82,560.74,561.65,449603.0,558.9317397101954
2025-04-01 11:30:00-04:00,560.93,561.02,560.35,560.82,308925.0,559.1220502139863
2025-04-01 11:35:00-04:00,560.88,560.99,560.26,560.94,299262.0,559.2894740031305
2025-04-01 11:40:00-04:00,561.1,561.22,560.2,560.85,377685.0,559.4619050504514
2025-04-01 11:45:00-04:00,561.57,561.69,561.04,561.1,412829.0,559.6626759980275
2025-04-01 11:50:00-04:00,561.03,561.76,560.76,561.58,293211.0,559.7928973315486
2025-04-01 11:55:00-04:00,561.57,561.58,560.8,561.03,140091.0,559.9621452047345
2025-04-01 12:00:00-04:00,562.04,562.3,561.2,561.59,297175.0,560.1600361376169
2025-04-01 12:05:00-04:00,562.24,562.33,561.73,562.1,231807.0,560.3581279340343
2025-04-01 12:10:00-04:00,562.22,562.41,561.85,562.26,202961.0,560.535449083174
2025-04-01 12:15:00-04:00,562.63,562.86,562.01,562.2,345963.0,560.7349301228717
2025-04-01 12:20:00-04:00,562.19,562.94,561.88,562.63,393923.0,560.8735082064077
2025-04-01 12:25:00-04:00,560.75,562.26,560.65,562.17,427421.0,560.8617455200831
